pipeline,model,accuracy,f1,auc
BBB,logistic_regression,0.7118,0.7119,0.7967
BBB,random_forest,0.7345,0.7346,0.8217
CCC,logistic_regression,0.7452,0.7454,0.825
CCC,random_forest,0.7486,0.7461,0.822
DDD,logistic_regression,0.7769,0.7773,0.8537
DDD,random_forest,0.7618,0.7622,0.8439
FFF,logistic_regression,0.7392,0.7394,0.8284
FFF,random_forest,0.7469,0.7471,0.8271
advanced_balanced,logistic_regression,0.4139,0.4136,0.7144
advanced_balanced,random_forest,0.5275,0.5049,0.7333
advanced_balanced,xgboost,0.4869,0.4979,0.7492
advanced_balanced,mlp,0.4415,0.4526,0.7348
advanced_binary,logistic_regression,0.6967,0.6965,0.7718
advanced_binary,random_forest,0.7219,0.7221,0.7946
advanced_binary,xgboost,0.732,0.7321,0.8133
advanced_binary,mlp,0.7197,0.72,0.8056
advanced_unbalanced,logistic_regression,0.5081,0.4429,0.7176
advanced_unbalanced,random_forest,0.5231,0.5006,0.7333
advanced_unbalanced,xgboost,0.5429,0.515,0.7546
advanced_unbalanced,mlp,0.5407,0.5128,0.7469
binary_aggregated,logistic_regression,0.6967,0.6965,0.7718
binary_aggregated,random_forest,0.7219,0.7221,0.7946
multiclass,logistic_regression,0.5081,0.4429,0.7176
multiclass,random_forest,0.5231,0.5006,0.7333
per_course_mc/BBB,logistic_regression,0.4418,0.4591,0.7323
per_course_mc/BBB,random_forest,0.5613,0.5233,0.7526
per_course_mc/BBB,xgboost,0.5411,0.5494,0.766
per_course_mc/BBB,mlp,0.4848,0.4953,0.7264
per_course_mc/CCC,logistic_regression,0.4927,0.4986,0.7675
per_course_mc/CCC,random_forest,0.522,0.4986,0.7635
per_course_mc/CCC,xgboost,0.4904,0.4929,0.7621
per_course_mc/CCC,mlp,0.4904,0.4979,0.7563
per_course_mc/DDD,logistic_regression,0.4677,0.4856,0.7588
per_course_mc/DDD,random_forest,0.5602,0.535,0.7592
per_course_mc/DDD,xgboost,0.5219,0.5267,0.7595
per_course_mc/DDD,mlp,0.5028,0.5142,0.746
per_course_mc/FFF,logistic_regression,0.4977,0.5089,0.7575
per_course_mc/FFF,random_forest,0.5596,0.5306,0.7506
per_course_mc/FFF,xgboost,0.5319,0.5356,0.7609
per_course_mc/FFF,mlp,0.4823,0.4958,0.7316
